1,128,29.1449,12.928
1,256,28.916,12.496
1,512,28.8015,12.4975
1,1024,28.7436,12.4194
1,2048,28.756,12.4997
1,3072,28.6687,12.997
1,4096,28.8379,12.4543
1,8192,16.872,12.4953
2,128,29.1449,25.0363
2,256,28.9161,24.931
2,512,28.8018,23.5331
2,1024,28.7451,24.7914
2,2048,28.7419,24.991
2,3072,28.6976,25.7416
2,4096,28.7219,24.992
2,8192,25.4096,24.9856
4,128,29.1448,39.2925
4,256,28.9161,49.2044
4,512,28.8018,49.7184
4,1024,28.7447,49.6946
4,2048,28.7119,49.7398
4,3072,28.7037,51.4446
4,4096,28.6881,49.0741
4,8192,30.0125,49.3994
6,128,29.1449,59.8386
6,256,28.9161,47.5752
6,512,28.8018,72.4361
6,1024,28.7447,74.717
6,2048,28.7168,66.364
6,3072,28.7081,71.0726
6,4096,28.7375,70.4596
6,8192,28.6674,61.6229
8,128,29.1449,62.44
8,256,28.9161,62.6307
8,512,28.8018,62.5571
8,1024,28.7447,62.6272
8,2048,28.7157,69.9596
8,3072,28.6982,76.7794
8,4096,28.7355,75.4104
8,8192,28.6546,76.7473
