1,8,131072,1.72472
2,8,262144,2.15327
4,8,524288,2.38183
8,8,1048576,2.60432
16,8,2097152,2.70816
32,8,4194304,2.77978
64,8,8388608,2.82183
1,16,65536,2.19354
2,16,131072,3.43732
4,16,262144,3.97115
8,16,524288,4.59386
16,16,1048576,5.06578
32,16,2097152,5.27997
64,16,4194304,5.41152
1,32,32768,3.48222
2,32,65536,4.17668
4,32,131072,5.6749
8,32,262144,7.18782
16,32,524288,7.82484
32,32,1048576,8.53575
64,32,2097152,9.03206
1,64,16384,3.85455
2,64,32768,5.24201
4,64,65536,6.70945
8,64,131072,9.11985
16,64,262144,10.915
32,64,524288,11.4682
64,64,1048576,12.3184
1,128,8192,3.4603
2,128,16384,5.46002
4,128,32768,6.87463
8,128,65536,6.15865
16,128,131072,11.3279
32,128,262144,12.0227
64,128,524288,8.64693
1,256,4096,3.23624
2,256,8192,1.53644
4,256,16384,6.50358
8,256,32768,9.60797
16,256,65536,11.337
32,256,131072,11.9756
64,256,262144,12.9307
1,512,2048,3.46303
2,512,4096,4.8651
4,512,8192,3.58147
8,512,16384,9.68733
16,512,32768,11.4588
32,512,65536,11.5986
64,512,131072,12.9005
