1,8,131072,1.05926
2,8,262144,0.996724
4,8,524288,2.72367
8,8,1048576,1.86664
16,8,2097152,2.75394
32,8,4194304,2.83688
64,8,8388608,2.87786
1,16,65536,2.30506
2,16,131072,3.40538
4,16,262144,4.60408
8,16,524288,4.28869
16,16,1048576,5.10103
32,16,2097152,6.12861
64,16,4194304,5.02194
1,32,32768,3.19858
2,32,65536,4.30548
4,32,131072,5.28929
8,32,262144,1.9195
16,32,524288,9.66869
32,32,1048576,7.58284
64,32,2097152,7.42933
1,64,16384,3.56695
2,64,32768,3.61681
4,64,65536,1.94453
8,64,131072,9.59748
16,64,262144,5.51004
32,64,524288,14.5902
64,64,1048576,12.7584
1,128,8192,3.85455
2,128,16384,3.80618
4,128,32768,8.79609
8,128,65536,11.6659
16,128,131072,7.62226
32,128,262144,8.84919
64,128,524288,14.1133
1,256,4096,1.50002
2,256,8192,6.45348
4,256,16384,6.87463
8,256,32768,4.57891
16,256,65536,13.4317
32,256,131072,15.7601
64,256,262144,11.7428
1,512,2048,2.53782
2,512,4096,1.05015
4,512,8192,6.07885
8,512,16384,10.5532
16,512,32768,13.2721
32,512,65536,9.83972
64,512,131072,15.9214
